location_state,completion_year,total,participants
North Carolina,2020,393,131887
North Carolina,2021,221,72984
North Carolina,2022,121,426340
North Carolina,2023,67,14010
North Carolina,2024,30,8005
North Carolina,2025,31,76987
North Carolina,2026,11,19639
North Carolina,2027,14,2002396
North Carolina,2028,4,224
North Carolina,2029,4,3400
North Carolina,2030,3,3210
North Carolina,2031,2,1040
North Carolina,2032,1,33
North Carolina,2033,1,12
North Carolina,2034,2,38
North Carolina,2035,2,10500
North Carolina,2036,5,634
North Carolina,2037,2,0
North Carolina,2040,1,15000
North Carolina,2099,1,1600
North Dakota,1999,2,48
North Dakota,2001,8,224
North Dakota,2002,17,808
North Dakota,2003,27,1105
North Dakota,2004,15,651
North Dakota,2005,27,1383
North Dakota,2006,22,972
North Dakota,2007,16,883
North Dakota,2008,21,653
North Dakota,2009,9,387
North Dakota,2010,10,5661
North Dakota,2011,14,739
North Dakota,2012,8,332
North Dakota,2013,3,160
North Dakota,2014,3,114
North Dakota,2015,8,877
North Dakota,2016,9,430
North Dakota,2017,6,182
North Dakota,2018,9,317
North Dakota,2019,14,888
North Dakota,2020,9,643
North Dakota,2021,2,184
North Dakota,2022,1,1550
North Dakota,2023,1,20
North Dakota,2024,1,16
Ohio,1993,1,90
Ohio,1996,1,0
Ohio,1997,1,0
Ohio,1998,2,40
Ohio,1999,3,20
Ohio,2000,3,411
Ohio,2001,12,1259
Ohio,2002,12,10634
Ohio,2003,12,233
Ohio,2004,18,1536
Ohio,2005,38,19774
Ohio,2006,52,5133
Ohio,2007,83,10156
Ohio,2008,106,9830
Ohio,2009,115,12948
Ohio,2010,169,21512
Ohio,2011,162,16532
Ohio,2012,206,37532
Ohio,2013,183,24744
Ohio,2014,226,22100
Ohio,2015,239,247683
Ohio,2016,243,46853
Ohio,2017,237,45320
Ohio,2018,265,48744
Ohio,2019,364,172644
Ohio,2020,398,145692
Ohio,2021,212,66501
Ohio,2022,101,21966
Ohio,2023,53,13466
Ohio,2024,24,2896
Ohio,2025,15,17082
Ohio,2026,6,2248
Ohio,2027,8,3039
Ohio,2028,5,2898
Ohio,2030,1,100
Ohio,2031,3,10475
Ohio,2032,2,77050
Ohio,2033,2,65
Ohio,2035,3,6010
Ohio,2037,1,100
Ohio,2039,1,100
Ohio,2040,1,50
Ohio,2047,1,1500
Ohio,2050,1,5000
Oklahoma,2001,1,75
Oklahoma,2002,2,82
Oklahoma,2003,1,60
Oklahoma,2004,4,202
Oklahoma,2005,2,500
Oklahoma,2006,8,2021
Oklahoma,2007,21,5570
Oklahoma,2008,13,1478
Oklahoma,2009,17,6175
Oklahoma,2010,30,2560
Oklahoma,2011,25,2697
Oklahoma,2012,23,1128
Oklahoma,2013,21,4305
Oklahoma,2014,15,1135
Oklahoma,2015,18,1617
Oklahoma,2016,23,4169
Oklahoma,2017,19,2312
Oklahoma,2018,24,1895
Oklahoma,2019,40,8089
Oklahoma,2020,36,6639
Oklahoma,2021,17,6407
Oklahoma,2022,17,3008
Oklahoma,2023,11,3291
Oklahoma,2024,4,645
Oklahoma,2025,3,83
Oklahoma,2027,1,310
Oklahoma,2030,1,450
Oregon,1993,1,47
Oregon,2000,1,1
Oregon,2002,3,14400
Oregon,2003,8,1108
Oregon,2004,16,7727
Oregon,2005,14,7941
Oregon,2006,21,3567
Oregon,2007,17,5048
Oregon,2008,33,6224
Oregon,2009,41,2812
Oregon,2010,59,8855
Oregon,2011,66,68976
Oregon,2012,58,9314
Oregon,2013,66,91429
Oregon,2014,59,14520
Oregon,2015,64,75491
Oregon,2016,70,37691
Oregon,2017,57,10313
Oregon,2018,70,1949092
Oregon,2019,85,12977
Oregon,2020,105,54982
Oregon,2021,47,74753
Oregon,2022,49,1416060
Oregon,2023,23,27532
Oregon,2024,8,1127
Oregon,2025,9,1233
Oregon,2026,1,28
Oregon,2030,2,10300
Oregon,2033,1,18
Oregon,2034,1,46
Pennsylvania,1979,1,37
Pennsylvania,1990,3,30
Pennsylvania,1991,2,113
Pennsylvania,1992,3,40
Pennsylvania,1993,3,206
Pennsylvania,1994,3,74
Pennsylvania,1995,1,50
Pennsylvania,1996,1,0
Pennsylvania,1997,4,20
Pennsylvania,1998,3,97
Pennsylvania,1999,2,75
Pennsylvania,2000,4,36
Pennsylvania,2001,9,135
Pennsylvania,2002,31,5763
Pennsylvania,2003,30,4542
Pennsylvania,2004,33,12067
Pennsylvania,2005,69,8503
Pennsylvania,2006,102,19240
Pennsylvania,2007,141,20950
Pennsylvania,2008,167,24765
Pennsylvania,2009,214,32741
Pennsylvania,2010,182,89999
Pennsylvania,2011,246,72389
Pennsylvania,2012,212,114310
Pennsylvania,2013,253,128218
Pennsylvania,2014,263,123496
Pennsylvania,2015,278,179802
Pennsylvania,2016,311,478311
Pennsylvania,2017,315,113776
Pennsylvania,2018,333,46927
Pennsylvania,2019,403,117286
Pennsylvania,2020,510,676538
Pennsylvania,2021,302,188776
Pennsylvania,2022,159,342968
Pennsylvania,2023,95,23241
Pennsylvania,2024,60,14204
Pennsylvania,2025,37,32360
Pennsylvania,2026,22,23806
Pennsylvania,2027,5,418
Pennsylvania,2028,10,6767
Pennsylvania,2029,4,6230
Pennsylvania,2030,8,14628
Pennsylvania,2031,1,40
Pennsylvania,2032,1,689
Pennsylvania,2033,3,48
Pennsylvania,2034,1,7
Pennsylvania,2035,3,16518
Pennsylvania,2040,2,67
Pennsylvania,2047,1,7500
Pennsylvania,2050,5,23000
Pennsylvania,2064,1,3000
Rhode Island,1996,1,0
Rhode Island,1999,1,0
Rhode Island,2000,2,160
Rhode Island,2001,1,0
Rhode Island,2002,1,252
Rhode Island,2003,3,598
Rhode Island,2004,4,1133
Rhode Island,2005,9,1518
Rhode Island,2006,12,10766
Rhode Island,2007,16,1249
Rhode Island,2008,26,10548
Rhode Island,2009,24,4608
Rhode Island,2010,22,2474
Rhode Island,2011,32,8515
Rhode Island,2012,35,15305
Rhode Island,2013,30,10669
Rhode Island,2014,38,12600
Rhode Island,2015,41,61570
Rhode Island,2016,29,6705
Rhode Island,2017,37,3353
Rhode Island,2018,58,13232
Rhode Island,2019,55,8000
Rhode Island,2020,53,14554
Rhode Island,2021,33,53968
Rhode Island,2022,15,2694
Rhode Island,2023,10,4297
Rhode Island,2024,7,2406
Rhode Island,2025,2,55
South Carolina,1989,1,240
South Carolina,1997,1,0
South Carolina,2000,3,49
South Carolina,2002,4,572
South Carolina,2003,1,9
South Carolina,2004,1,140
South Carolina,2005,7,1464
South Carolina,2006,9,4249
South Carolina,2007,27,17439
South Carolina,2008,21,1227
South Carolina,2009,32,4886
South Carolina,2010,33,4258
South Carolina,2011,24,4371
South Carolina,2012,30,16652
South Carolina,2013,42,10148
South Carolina,2014,44,6437
South Carolina,2015,41,5024
South Carolina,2016,63,8150
South Carolina,2017,50,6757
South Carolina,2018,55,7097
South Carolina,2019,72,14885
South Carolina,2020,84,17522
South Carolina,2021,37,5105
South Carolina,2022,20,5595
South Carolina,2023,20,5166
South Carolina,2024,9,1608
South Carolina,2025,1,66
South Carolina,2029,1,100
South Carolina,2030,2,180
South Carolina,2046,1,6000
South Carolina,2050,2,60000
South Dakota,2003,1,224
South Dakota,2006,1,130
South Dakota,2007,1,10
South Dakota,2008,2,128
South Dakota,2009,1,0
South Dakota,2010,2,25
South Dakota,2011,8,214
South Dakota,2012,2,235
South Dakota,2013,7,314
South Dakota,2014,5,3365
South Dakota,2015,3,186
South Dakota,2016,2,174
South Dakota,2017,5,615
South Dakota,2018,5,857
South Dakota,2019,5,303
South Dakota,2020,6,810
South Dakota,2021,3,204
South Dakota,2022,3,436
South Dakota,2023,1,1000
South Dakota,2024,1,100
South Dakota,2029,1,100
South Dakota,2100,1,20000
Tennessee,1992,1,35
Tennessee,1998,1,43
Tennessee,2000,1,93
Tennessee,2001,4,243
Tennessee,2002,3,193
Tennessee,2003,5,646
Tennessee,2004,12,1814
Tennessee,2005,16,1248
Tennessee,2006,28,8295
Tennessee,2007,50,12510
Tennessee,2008,61,8891
Tennessee,2009,96,10843
Tennessee,2010,80,8427
Tennessee,2011,107,8188
Tennessee,2012,95,9638
Tennessee,2013,77,33559
Tennessee,2014,87,45801
Tennessee,2015,103,11922
Tennessee,2016,103,16251
Tennessee,2017,109,341744
Tennessee,2018,120,79745
Tennessee,2019,115,13206
Tennessee,2020,165,40779
Tennessee,2021,80,26258
Tennessee,2022,67,18247
Tennessee,2023,30,24040
Tennessee,2024,30,17765
Tennessee,2025,20,47393
Tennessee,2026,8,3585
Tennessee,2027,6,955
Tennessee,2028,9,4447
Tennessee,2029,1,90
Tennessee,2030,2,6000
Tennessee,2034,2,8818
Tennessee,2035,1,5000
Tennessee,2036,1,100
Tennessee,2037,2,4000
Tennessee,2038,1,178
Tennessee,2041,1,500
Tennessee,2045,1,1000
Tennessee,2047,1,300
Tennessee,2050,1,8000
Texas,1997,4,283
Texas,1998,7,55
Texas,1999,6,39
Texas,2000,12,3172
Texas,2001,19,2764
Texas,2002,33,1195
Texas,2003,55,2554
Texas,2004,73,6842
Texas,2005,120,28949
Texas,2006,135,13834
Texas,2007,191,21062
Texas,2008,256,26969
Texas,2009,280,34604
Texas,2010,288,61155
Texas,2011,311,848472
Texas,2012,322,64970
Texas,2013,287,34438
Texas,2014,302,31999
Texas,2015,323,39456
Texas,2016,383,43483
Texas,2017,387,38453
Texas,2018,388,89720
Texas,2019,599,107801
Texas,2020,770,247624
Texas,2021,469,114467
Texas,2022,268,78492
Texas,2023,122,35086
Texas,2024,59,33176
Texas,2025,55,68569
Texas,2026,28,181311
Texas,2027,18,133622
Texas,2028,9,13261
Texas,2029,5,2279
Texas,2030,13,15655
Texas,2031,5,3394
Texas,2032,2,1536
Texas,2033,7,12184
Texas,2034,4,242
Texas,2035,5,8536
Texas,2036,4,127
Texas,2037,4,5086
Texas,2038,1,21
Texas,2040,3,4020229
Texas,2048,1,10000
Texas,2049,1,5212
Texas,2099,1,250000
Utah,1994,1,116
Utah,2002,1,16
Utah,2003,1,541
Utah,2004,2,97
Utah,2005,6,654
Utah,2006,12,1343
Utah,2007,10,993
Utah,2008,28,3549
Utah,2009,28,1794
Utah,2010,42,176198
Utah,2011,46,7521
Utah,2012,44,4684
Utah,2013,46,2792
Utah,2014,45,5308
Utah,2015,43,3456
Utah,2016,58,18936
Utah,2017,73,6345
Utah,2018,57,7897
Utah,2019,89,563227
Utah,2020,75,757112
Utah,2021,52,8413
Utah,2022,24,532662
Utah,2023,20,26232
Utah,2024,7,30282
Utah,2025,10,13180
Utah,2026,1,183
Utah,2027,2,1590
Utah,2028,1,500
Utah,2030,1,2000
Utah,2050,2,50600
Vermont,2001,3,0
Vermont,2002,1,20
Vermont,2003,2,76
Vermont,2004,1,45
Vermont,2005,1,0
Vermont,2007,3,7834
Vermont,2008,8,1359
Vermont,2009,6,146
Vermont,2010,11,668
Vermont,2011,10,3184
Vermont,2012,9,874
Vermont,2013,14,736
Vermont,2014,11,2147
Vermont,2015,6,751
Vermont,2016,14,1358
Vermont,2017,7,581
Vermont,2018,8,605
Vermont,2019,13,1023
Vermont,2020,14,1012
Vermont,2021,6,3296
Vermont,2022,3,1355
Vermont,2023,3,660
Vermont,2040,1,60000
Virginia,1998,1,150
Virginia,2000,1,0
Virginia,2001,1,15
Virginia,2003,4,467
Virginia,2004,8,2467
Virginia,2005,9,879
Virginia,2006,17,4181
Virginia,2007,26,8991
Virginia,2008,47,6869
Virginia,2009,46,3407
Virginia,2010,47,5433
Virginia,2011,47,10033
Virginia,2012,70,12037
Virginia,2013,70,29914
Virginia,2014,59,8073
Virginia,2015,74,18843548
Virginia,2016,74,5849
Virginia,2017,86,7078
Virginia,2018,114,52364
Virginia,2019,130,8124019
Virginia,2020,117,17949
Virginia,2021,72,11969
Virginia,2022,34,5295
Virginia,2023,18,9483
Virginia,2024,11,1706
Virginia,2025,7,827
Virginia,2027,2,533
Virginia,2028,1,55
Virginia,2030,1,198
Virginia,2038,1,1200
Washington,1990,1,30
Washington,1992,1,13
Washington,1996,3,1024
Washington,1997,1,24
Washington,1999,3,8458
Washington,2000,5,302
Washington,2001,14,1137
Washington,2002,20,41419
Washington,2003,17,2557
Washington,2004,21,5879
Washington,2005,39,10752
Washington,2006,47,11378
Washington,2007,65,14401
Washington,2008,60,18419
Washington,2009,69,2366273
Washington,2010,75,18562
Washington,2011,99,50357
Washington,2012,85,14182
Washington,2013,85,17604
Washington,2014,64,23505
Washington,2015,94,13590
Washington,2016,94,101426
Washington,2017,81,48213
Washington,2018,112,51107
Washington,2019,104,132772
Washington,2020,142,42566
Washington,2021,78,19294
Washington,2022,60,9589
Washington,2023,24,20035
Washington,2024,14,1901
Washington,2025,9,4363
Washington,2026,5,207
Washington,2027,3,152
Washington,2028,4,5431
Washington,2030,3,52
Washington,2032,3,183
Washington,2033,4,133
Washington,2034,1,18
Washington,2035,1,4
Washington,2036,3,179
Washington,2037,3,106
Washington,2040,2,3000
West Virginia,1972,1,12
West Virginia,2002,10,368
West Virginia,2003,18,3977
West Virginia,2004,21,829
West Virginia,2005,19,1440
West Virginia,2006,5,273
West Virginia,2007,3,667
West Virginia,2008,6,1131
West Virginia,2009,9,923
West Virginia,2010,10,742
West Virginia,2011,6,776
West Virginia,2012,13,756
West Virginia,2013,9,1241
West Virginia,2014,7,496
West Virginia,2015,9,686
West Virginia,2016,4,145
West Virginia,2017,10,2188
West Virginia,2018,8,409
West Virginia,2019,16,2437
West Virginia,2020,12,1836
West Virginia,2021,7,209
West Virginia,2022,5,346
West Virginia,2023,3,85
West Virginia,2024,1,10
West Virginia,2035,1,6750
Wisconsin,1998,1,0
Wisconsin,1999,1,46
Wisconsin,2000,3,39
Wisconsin,2001,1,60
Wisconsin,2002,1,608
Wisconsin,2003,4,572
Wisconsin,2004,13,1928
Wisconsin,2005,10,1711
Wisconsin,2006,22,2368
Wisconsin,2007,43,6083
Wisconsin,2008,49,2951
Wisconsin,2009,59,6223
Wisconsin,2010,57,9351
Wisconsin,2011,67,4235
Wisconsin,2012,63,39455
Wisconsin,2013,97,11679
Wisconsin,2014,62,5854
Wisconsin,2015,81,8805
Wisconsin,2016,79,9116
Wisconsin,2017,76,284237
Wisconsin,2018,86,52552
Wisconsin,2019,85,9590
Wisconsin,2020,104,18750
Wisconsin,2021,77,21126
Wisconsin,2022,62,10527
Wisconsin,2023,36,15410
Wisconsin,2024,13,1266
Wisconsin,2025,10,14228
Wisconsin,2026,4,140
Wisconsin,2027,1,800
Wisconsin,2028,2,334
Wisconsin,2030,1,500
Wisconsin,2033,1,25
Wisconsin,2040,1,24
Wisconsin,2050,1,4000
Wisconsin,2060,1,30
Wyoming,2012,1,120
Wyoming,2014,1,44
Wyoming,2017,1,353
Wyoming,2019,2,148
Wyoming,2020,6,584
